stock_1,stock_2,p_value,half_life,hedge_ratio
BJ,UNH,0.0003,18.5,0.1688
BAC,PNC,0.0004,19.2,0.2187
AEP,DLTR,0.0004,24.0,0.203
IBM,LLY,0.0005,25.6,0.0934
IBM,MPC,0.0011,24.7,0.3635
SRE,VLO,0.0016,29.3,0.2405
SO,UNH,0.0019,28.6,0.0747
KO,SO,0.002,19.4,0.7314
BJ,MOH,0.0026,22.9,0.2254
JNJ,KR,0.0028,20.8,1.6723
MOH,UNH,0.0033,25.2,0.7228
KR,UNH,0.0038,22.6,0.0819
MDLZ,ORCL,0.0044,28.7,0.3572
AEP,CVS,0.0044,30.4,0.3425
IBM,MCK,0.0047,31.8,0.1139
DUK,KR,0.0051,26.6,0.8779
KR,MOH,0.0052,30.5,0.1078
AEP,CVX,0.0053,30.8,0.1528
DUK,MOH,0.0055,33.8,0.1003
MS,TXN,0.0056,23.6,0.6851
EMR,MS,0.006,31.0,0.6649
HUM,KR,0.0061,30.8,7.4143
AEP,SYY,0.0062,29.5,0.5402
DLTR,EXC,0.0064,26.5,3.6221
ABBV,UNH,0.0067,27.6,0.2802
KO,SRE,0.0071,28.0,0.751
AEP,COP,0.0076,35.0,0.1457
VLO,XOM,0.0077,26.9,1.1332
AEP,VLO,0.0078,35.3,0.1466
BJ,HUM,0.0089,28.2,0.2088
DUK,SCHW,0.009,29.8,0.4857
EMR,GS,0.0095,29.2,0.1902
AEP,KO,0.0112,28.5,0.8608
AEP,KR,0.0116,32.8,0.4973
DUK,MS,0.0118,27.9,0.4003
AEP,PFE,0.012,33.0,0.7654
DUK,JNJ,0.0122,31.1,0.4919
DUK,UNH,0.0124,31.7,0.0768
DLTR,KO,0.0129,32.8,3.1724
AEP,SJM,0.0137,38.8,0.2641
ABBV,SO,0.0142,36.7,3.1773
AEP,EOG,0.015,34.0,0.1392
AEP,EXC,0.015,36.1,0.879
AEP,BMY,0.0154,28.3,0.6116
DE,STZ,0.0156,33.3,3.0245
AXP,DUK,0.0162,30.1,2.6099
CVX,EOG,0.0164,32.7,1.0441
KO,KR,0.017,35.9,0.6269
DLTR,SRE,0.018,32.8,2.4957
SRE,XOM,0.0189,34.5,0.27
AEP,GIS,0.019,37.1,0.4307
ABBV,PEP,0.0194,36.2,1.2495
GS,TXN,0.0197,29.8,2.3789
AEP,MTB,0.0202,38.1,0.1747
AEP,SCHW,0.0204,38.0,0.2364
JNJ,STZ,0.0213,33.1,0.48
AEP,MCK,0.0214,39.2,0.0363
STZ,UNH,0.0217,33.9,0.2449
BJ,PEP,0.0219,29.8,0.7498
AEP,MMM,0.0226,38.0,-0.1207
GIS,HUM,0.0228,36.1,0.1215
CVX,SRE,0.0232,34.5,3.2936
CVS,DUK,0.0243,33.1,1.3338
HON,TXN,0.0245,28.8,0.7719
JNJ,TXN,0.0247,29.2,0.5263
DUK,EMR,0.0253,34.4,0.5444
HUM,WMT,0.0261,33.9,10.7712
MMM,MRK,0.0266,39.0,-1.0534
AEP,XOM,0.0271,36.5,0.162
JNJ,MS,0.0272,29.3,0.745
AEP,AXP,0.0272,39.2,0.1459
DUK,KO,0.028,34.5,1.2641
AEP,UNH,0.0281,36.7,0.0424
SO,STZ,0.0281,37.0,0.2493
CI,SO,0.0291,39.0,4.7559
BLK,TXN,0.0295,36.9,4.7942
BJ,KR,0.0304,32.1,1.8861
DE,JNJ,0.031,27.0,5.4914
BMY,XEL,0.0326,31.8,1.243
ABBV,CI,0.0349,36.7,0.5796
ABBV,KR,0.0353,25.9,3.1542
CVX,EXC,0.0355,38.0,4.5717
HUM,JNJ,0.0356,36.6,4.0489
AEP,BJ,0.0372,35.6,0.2237
JNJ,MOH,0.0399,30.3,0.1948
AMGN,CI,0.0401,36.3,0.5014
DUK,GS,0.0407,32.4,0.111
GS,MS,0.0419,36.3,3.4602
AEP,CI,0.0424,38.0,0.0861
GILD,MRK,0.045,39.1,0.494
AMGN,HUM,0.0451,30.8,0.3163
EMR,STZ,0.0466,38.2,0.4156
STZ,TXN,0.0479,38.7,0.8853
KO,UNH,0.0482,38.8,0.0566
DUK,STZ,0.0484,37.1,0.2576
DUK,SYY,0.0486,35.0,0.8154
HUM,PEP,0.0495,39.2,3.0077
